,country,rank,rating,games,birth_year,ranking_year
1,AZE,25.227272727272727,2728.818181818182,10.863636363636363,1986.3636363636363,2010.0
2,BIH,90.0,2648.0,20.666666666666668,1968.0,2010.0
3,BLR,86.5,2652.75,18.375,1983.0,2010.0
4,BRA,64.0,2660.0,20.0,1978.0,2010.0
5,BUL,47.22222222222222,2710.722222222222,12.0,1975.3333333333333,2010.0
6,CHN,46.75,2694.5,13.857142857142858,1986.4642857142858,2010.0
7,CUB,44.7,2695.4,13.3,1982.6,2010.0
8,CZE,40.5,2698.4,14.9,1986.2,2010.0
9,DEN,48.333333333333336,2688.6666666666665,5.833333333333333,1973.0,2010.0
10,ENG,47.0,2691.5,13.5,1970.2857142857142,2010.0
11,ESP,24.833333333333332,2720.25,14.583333333333334,1977.0,2010.0
12,FIN,95.0,2646.5,14.5,1985.0,2010.0
13,FRA,45.25,2694.875,13.666666666666666,1984.625,2010.0
14,GEO,32.666666666666664,2706.8333333333335,11.333333333333334,1983.0,2010.0
15,GER,78.0,2659.590909090909,15.681818181818182,1981.6363636363637,2010.0
16,HUN,39.541666666666664,2700.0833333333335,7.833333333333333,1979.0,2010.0
17,IND,54.083333333333336,2697.0833333333335,10.416666666666666,1979.75,2010.0
18,ISR,64.85185185185185,2677.037037037037,13.25925925925926,1975.148148148148,2010.0
19,ITA,44.5,2689.3333333333335,20.0,1992.0,2010.0
20,KAZ,99.0,2643.0,9.0,1973.0,2010.0
21,MDA,48.666666666666664,2685.8333333333335,17.166666666666668,1971.0,2010.0
22,NED,72.125,2664.25,14.5,1982.5,2010.0
23,NOR,15.0,2791.0,10.285714285714286,1990.0,2010.0
24,PER,99.0,2643.0,18.0,1967.0,2010.0
25,PHI,68.66666666666667,2666.1666666666665,14.333333333333334,1993.0,2010.0
26,POL,77.0,2662.214285714286,13.714285714285714,1978.9285714285713,2010.0
27,ROU,57.0,2676.3333333333335,13.0,1976.0,2010.0
28,RUS,50.39869281045752,2691.8039215686276,12.34640522875817,1981.2156862745098,2010.0
29,SLO,79.33333333333333,2653.0,14.333333333333334,1953.0,2010.0
30,SRB,102.0,2640.0,11.0,1980.0,2010.0
31,SUI,96.6,2644.0,1.2,1972.0,2010.0
